 , , OBJECT 1, , , , , , , , , , OBJECT 2
t, , x1, y1, vx1, vy1, ax1, ay1, theta, omega, alpha, , x2, y2, vx2, vy2, ax2, ay2, theta, omega, alpha
0 , ,1.00001, 3e-006, 1, 0.3, 0, 0, 0, 0, 0 , , 1.99999, 0.499995, -0.5, -0.5, 0, 0, 0, 0, 0
0.02 , ,1.02001, 0.006003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.98999, 0.489995, -0.5, -0.5, 0, 0, 0, 0, 0
0.04 , ,1.04001, 0.012003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.97999, 0.479995, -0.5, -0.5, 0, 0, 0, 0, 0
0.06 , ,1.06001, 0.018003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.96999, 0.469995, -0.5, -0.5, 0, 0, 0, 0, 0
0.08 , ,1.08001, 0.024003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.95999, 0.459995, -0.5, -0.5, 0, 0, 0, 0, 0
0.1 , ,1.10001, 0.030003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.94999, 0.449995, -0.5, -0.5, 0, 0, 0, 0, 0
0.12 , ,1.12001, 0.036003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.93999, 0.439995, -0.5, -0.5, 0, 0, 0, 0, 0
0.14 , ,1.14001, 0.042003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.92999, 0.429995, -0.5, -0.5, 0, 0, 0, 0, 0
0.16 , ,1.16001, 0.048003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.91999, 0.419995, -0.5, -0.5, 0, 0, 0, 0, 0
0.18 , ,1.18001, 0.054003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.90999, 0.409995, -0.5, -0.5, 0, 0, 0, 0, 0
0.2 , ,1.20001, 0.060003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.89999, 0.399995, -0.5, -0.5, 0, 0, 0, 0, 0
0.22 , ,1.22001, 0.066003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.88999, 0.389995, -0.5, -0.5, 0, 0, 0, 0, 0
0.24 , ,1.24001, 0.072003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.87999, 0.379995, -0.5, -0.5, 0, 0, 0, 0, 0
0.26 , ,1.26001, 0.078003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.86999, 0.369995, -0.5, -0.5, 0, 0, 0, 0, 0
0.28 , ,1.28001, 0.084003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.85999, 0.359995, -0.5, -0.5, 0, 0, 0, 0, 0
0.3 , ,1.30001, 0.090003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.84999, 0.349995, -0.5, -0.5, 0, 0, 0, 0, 0
0.32 , ,1.32001, 0.096003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.83999, 0.339995, -0.5, -0.5, 0, 0, 0, 0, 0
0.34 , ,1.34001, 0.102003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.82999, 0.329995, -0.5, -0.5, 0, 0, 0, 0, 0
0.36 , ,1.36001, 0.108003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.81999, 0.319995, -0.5, -0.5, 0, 0, 0, 0, 0
0.38 , ,1.38001, 0.114003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.80999, 0.309995, -0.5, -0.5, 0, 0, 0, 0, 0
0.4 , ,1.40001, 0.120003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.79999, 0.299995, -0.5, -0.5, 0, 0, 0, 0, 0
0.42 , ,1.42001, 0.126003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.78999, 0.289995, -0.5, -0.5, 0, 0, 0, 0, 0
0.44 , ,1.44001, 0.132003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.77999, 0.279995, -0.5, -0.5, 0, 0, 0, 0, 0
0.46 , ,1.46001, 0.138003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.76999, 0.269995, -0.5, -0.5, 0, 0, 0, 0, 0
0.48 , ,1.48001, 0.144003, 1, 0.3, 0, 0, 0, 0, 0 , , 1.75999, 0.259995, -0.5, -0.5, 0, 0, 0, 0, 0
0.5 , ,1.47103, 0.138054, -0.700858, -0.40137, 0, 0, 0.0745058, 4.37334, 0 , , 1.7746, 0.260138, 0.943995, 0.0953432, 0, 0, 0.0877615, 5.15142, 0
0.52 , ,1.45702, 0.130027, -0.700858, -0.40137, 0, 0, 0.161973, 4.37334, 0 , , 1.79348, 0.262045, 0.943995, 0.0953432, 0, 0, 0.19079, 5.15142, 0
0.54 , ,1.443, 0.121999, -0.700858, -0.40137, 0, 0, 0.249439, 4.37334, 0 , , 1.81236, 0.263951, 0.943995, 0.0953432, 0, 0, 0.293818, 5.15142, 0
0.56 , ,1.42898, 0.113972, -0.700858, -0.40137, 0, 0, 0.336906, 4.37334, 0 , , 1.83124, 0.265858, 0.943995, 0.0953432, 0, 0, 0.396847, 5.15142, 0
0.58 , ,1.41497, 0.105944, -0.700858, -0.40137, 0, 0, 0.424373, 4.37334, 0 , , 1.85011, 0.267765, 0.943995, 0.0953432, 0, 0, 0.499875, 5.15142, 0
0.6 , ,1.40095, 0.0979169, -0.700858, -0.40137, 0, 0, 0.51184, 4.37334, 0 , , 1.86899, 0.269672, 0.943995, 0.0953432, 0, 0, 0.602904, 5.15142, 0
0.62 , ,1.38693, 0.0898895, -0.700858, -0.40137, 0, 0, 0.599307, 4.37334, 0 , , 1.88787, 0.271579, 0.943995, 0.0953432, 0, 0, 0.705932, 5.15142, 0
0.64 , ,1.37291, 0.0818621, -0.700858, -0.40137, 0, 0, 0.686774, 4.37334, 0 , , 1.90675, 0.273486, 0.943995, 0.0953432, 0, 0, 0.80896, 5.15142, 0
0.66 , ,1.3589, 0.0738347, -0.700858, -0.40137, 0, 0, 0.77424, 4.37334, 0 , , 1.92563, 0.275393, 0.943995, 0.0953432, 0, 0, 0.911989, 5.15142, 0
0.68 , ,1.34488, 0.0658073, -0.700858, -0.40137, 0, 0, 0.861707, 4.37334, 0 , , 1.94451, 0.277299, 0.943995, 0.0953432, 0, 0, 1.01502, 5.15142, 0
0.7 , ,1.33086, 0.0577799, -0.700858, -0.40137, 0, 0, 0.949174, 4.37334, 0 , , 1.96339, 0.279206, 0.943995, 0.0953432, 0, 0, 1.11805, 5.15142, 0
0.72 , ,1.31684, 0.0497525, -0.700858, -0.40137, 0, 0, 1.03664, 4.37334, 0 , , 1.98227, 0.281113, 0.943995, 0.0953432, 0, 0, 1.22107, 5.15142, 0
0.74 , ,1.30283, 0.0417251, -0.700858, -0.40137, 0, 0, 1.12411, 4.37334, 0 , , 2.00115, 0.28302, 0.943995, 0.0953432, 0, 0, 1.3241, 5.15142, 0
