 , , OBJECT 1, , , , , , , OBJECT 2,,,,,,,,,,,,,,,,
t, , x1, y1, vx1, vy1, ax1, ay1, , x2, y2, vx2, vy2, ax2, ay2,,,,,,,,,,,
0, ,0.15004,-0.799978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.001, ,0.15404,-0.797778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.002, ,0.15804,-0.795578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,Initial Conditions:,,,,,,,
0.003, ,0.16204,-0.793378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,Object,m,r,k,x,y,vx,vy
0.004, ,0.16604,-0.791178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,1,0.1,0.1,1302,0.15,-0.8,4,2.2
0.005, ,0.17004,-0.788978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,2,0.1,0.1,1302,1.5,0,0,0
0.006, ,0.17404,-0.786778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.007, ,0.17804,-0.784578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.008, ,0.18204,-0.782378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.009, ,0.18604,-0.780178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.01, ,0.19004,-0.777978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.011, ,0.19404,-0.775778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.012, ,0.19804,-0.773578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.013, ,0.20204,-0.771378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.014, ,0.20604,-0.769178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.015, ,0.21004,-0.766978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.016, ,0.21404,-0.764778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.017, ,0.21804,-0.762578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.018, ,0.22204,-0.760378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.019, ,0.22604,-0.758178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.02, ,0.23004,-0.755978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.021, ,0.23404,-0.753778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.022, ,0.23804,-0.751578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.023, ,0.24204,-0.749378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.024, ,0.24604,-0.747178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.025, ,0.25004,-0.744978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.026, ,0.25404,-0.742778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.027, ,0.25804,-0.740578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.028, ,0.26204,-0.738378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.029, ,0.26604,-0.736178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.03, ,0.27004,-0.733978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.031, ,0.27404,-0.731778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.032, ,0.27804,-0.729578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.033, ,0.28204,-0.727378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.034, ,0.28604,-0.725178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.035, ,0.29004,-0.722978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.036, ,0.29404,-0.720778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.037, ,0.29804,-0.718578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.038, ,0.30204,-0.716378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.039, ,0.30604,-0.714178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.04, ,0.31004,-0.711978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.041, ,0.31404,-0.709778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.042, ,0.31804,-0.707578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.043, ,0.32204,-0.705378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.044, ,0.32604,-0.703178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.045, ,0.33004,-0.700978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.046, ,0.33404,-0.698778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.047, ,0.33804,-0.696578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.048, ,0.34204,-0.694378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.049, ,0.34604,-0.692178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.05, ,0.35004,-0.689978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.051, ,0.35404,-0.687778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.052, ,0.35804,-0.685578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
